experiment_type,comparison_type,case_label,candidate_id,smf_count,channel_count,scf_square_side_um,fmf_radius_um,smf_core_radius_um,scf_length_m,scf_length_mm,pitch_um,rotation_deg,ring_radius_um,nearest_spacing_um,edge_margin_um,positions_um,active_site_indices,nested_site_set_pre_registered,available_rank,input_gram_condition,scf_modes,fmf_modes,scf_modes_used_from_basis,scf_modes_padded_or_truncated,lp11_indices,lp01_indices,lp11_group_count,target_candidate_count,label_warning,basis_alignment_verified,basis_alignment_method,real_external_solver_executed_in_this_analysis,real_external_solver_executed_in_source,s_matrix_source,s_matrix_sidecar,raw_mode_source,eta_free_scf_same_platform,eta_free_scf_single_same_platform,free_scf_single_target_label,scf_launch_plane_convention,claim_boundary,smf_x_mode_index,smf_y_mode_index,smf_x_mode_label,smf_y_mode_label,smf_x_y_distinct,target_label,orientation_label,polarization_label,dominant_raw_lp11_index,target_projection_norm_before_normalization,target_raw_lp11_power_fractions,eta_over_free_scf_single_same_platform,generalized_eigenvalue,generalized_eigensolve_regularized,launch_label,eta_single_LP11,eta_LP11_group,single_over_group,LP11_crosstalk_to_other_3_modes,single_mode_dominance_dB,two_lobe_projection_score,two_lobe_gate_pass,rho_single_LP11,rho_LP11_group,ER_single_LP11_dB,ER_LP11_group_dB,captured_power,LP01_leakage,reflection_estimate,scf_port_euclidean_power_before_norm,alignment_to_free_scf_single_optimal,dominant_raw_lp11_output_index,raw_lp11_component_powers,energy_target_single_LP11,energy_retained_non_target,energy_retained_LP11_group_total,energy_retained_LP01,energy_fmf_captured_total,energy_s11_reflection,energy_residual_or_unretained,energy_residual_raw,energy_account_clipped_sum,eta_over_free_scf_same_platform,single_lp11_causal_objective
nested_site,nested_site,pc_scf110_fmf16_l3p500mm_nested_site_single_lp11_N2,pc_scf110_fmf16_l3p500mm,2,4,110.0,16.0,4.5,0.0035,3.5,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,40.0,"-15,0;15,0",0;1,True,4,50.86171000178457,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l3p500mm_butt.npz,same_eme_project_cell1_port2_basis,0.4019497163708443,0.401847794110832,LP11y-polX,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,0,1,mode1,mode2,True,LP11y-polX,LP11y,polX,4,443.9708368101477,2:4.84506699e-28;3:1.85738458e-28;4:0.500159944;5:0.499840056,0.0023984164906572557,0.0009637983761296601,False,nested_site_single_lp11_optimal,0.0009637983761296611,0.0009637988195351044,0.9999995399398357,4.434054432216755e-10,63.37185170050957,0.9999995399398357,True,0.9999995399398357,1.0,63.37185170050957,269.83986390039786,0.0009637988195351044,2.8985530652934254e-25,2.0843254371866912e-10,0.3433744145319343,0.0023984164906572583,5,2:1.00066454e-29;3:1.13811852e-28;4:0.000481658979;5:0.00048213984,0.0009637983761296611,4.434054432216755e-10,0.0009637988195351044,2.8985530652934254e-25,0.0009637988195351044,2.0843254371866912e-10,0.9990362009720324,0.9990362009720324,1.0,0.0023984164906572557,True
nested_site,nested_site,pc_scf110_fmf16_l3p500mm_nested_site_single_lp11_N4,pc_scf110_fmf16_l3p500mm,4,8,110.0,16.0,4.5,0.0035,3.5,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,25.0,"-15,0;15,0;0,30;0,-30",0;1;2;3,True,8,50.86225354712392,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l3p500mm_butt.npz,same_eme_project_cell1_port2_basis,0.4019497163708443,0.40184779410831306,LP11y-polX,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,0,1,mode1,mode2,True,LP11x-polY,LP11x,polY,4,443.97083681004153,2:6.69761068e-27;3:2.09300507e-28;4:0.500159944;5:0.499840056,0.013078733612669043,0.005255660251981303,False,nested_site_single_lp11_optimal,0.005255660251981303,0.005255660653606402,0.999999923582376,4.016250994970383e-10,71.16806436684284,0.999999923582376,True,0.999999923582376,1.0,71.16806436684284,277.2062731602205,0.005255660653606402,8.40550181739527e-26,9.482180812287028e-10,0.3418321246085303,0.013078733612669041,4,2:5.98150775e-28;3:7.00089232e-28;4:0.00262953515;5:0.0026261255,0.005255660251981303,4.016250994970383e-10,0.005255660653606402,8.40550181739527e-26,0.005255660653606402,9.482180812287028e-10,0.9947443383981756,0.9947443383981756,1.0,0.013078733612669043,True
nested_site,nested_site,pc_scf110_fmf16_l3p500mm_nested_site_single_lp11_N6,pc_scf110_fmf16_l3p500mm,6,12,110.0,16.0,4.5,0.0035,3.5,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,10.0,"-15,0;15,0;0,30;0,-30;-45,0;45,0",0;1;2;3;4;5,True,12,50.86572047704255,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l3p500mm_butt.npz,same_eme_project_cell1_port2_basis,0.4019497163708443,0.401847794110832,LP11y-polX,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,0,1,mode1,mode2,True,LP11y-polX,LP11y,polX,4,443.9708368101477,2:4.84506699e-28;3:1.85738458e-28;4:0.500159944;5:0.499840056,0.4407423161734897,0.17711132752561545,False,nested_site_single_lp11_optimal,0.1771113275256157,0.17711133033829135,0.9999999841191659,2.8126756479451842e-09,77.99126685197594,0.9999999841191659,True,0.9999999841191659,1.0,77.99126685197594,292.48246345187806,0.17711133033829135,1.3235726908181178e-26,1.9779253775544084e-08,0.31409248160287107,0.4407423161734894,4,2:3.05163125e-29;3:1.08220287e-28;4:0.0885935718;5:0.0885177586,0.1771113275256157,2.8126756479451842e-09,0.17711133033829135,1.3235726908181178e-26,0.17711133033829135,1.9779253775544084e-08,0.8228886498824548,0.8228886498824548,0.9999999999999999,0.4407423161734897,True
nested_site,nested_site,pc_scf110_fmf16_l3p500mm_nested_site_single_lp11_N8,pc_scf110_fmf16_l3p500mm,8,16,110.0,16.0,4.5,0.0035,3.5,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,10.0,"-15,0;15,0;0,30;0,-30;-45,0;45,0;-45,30;45,-30",0;1;2;3;4;5;6;7,True,16,50.86616929002871,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l3p500mm_butt.npz,same_eme_project_cell1_port2_basis,0.4019497163708443,0.39079195858326377,LP11y-polX,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,0,1,mode1,mode2,True,LP11x-polX,LP11x,polX,2,455.30249245954485,2:0.500120386;3:0.499879614;4:1.16936025e-27;5:2.58033681e-27,0.5741946994905431,0.2243906712220372,False,nested_site_single_lp11_optimal,0.2243906712220379,0.23372098858163282,0.9600792491242777,0.009330317359594914,13.811083816721371,0.9600792491242777,True,0.9600792491242777,1.0,13.811083816721371,293.6869771459972,0.23372098858163282,3.372410037101905e-27,2.658378275383682e-08,0.3224848380985462,0.5741946994905431,2,2:0.112201294;3:0.112189381;4:0.00466610425;5:0.0046642097,0.2243906712220379,0.009330317359594914,0.23372098858163282,3.372410037101905e-27,0.23372098858163282,2.658378275383682e-08,0.7662789848345845,0.7662789848345845,1.0,0.5741946994905431,True
nested_site,nested_site,pc_scf110_fmf16_l3p500mm_nested_site_single_lp11_N10,pc_scf110_fmf16_l3p500mm,10,20,110.0,16.0,4.5,0.0035,3.5,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,10.0,"-15,0;15,0;0,30;0,-30;-45,0;45,0;-45,30;45,-30;45,30;-45,-30",0;1;2;3;4;5;6;7;8;9,True,20,50.8666990676705,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l3p500mm_butt.npz,same_eme_project_cell1_port2_basis,0.4019497163708443,0.39079195858326377,LP11y-polX,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,0,1,mode1,mode2,True,LP11x-polX,LP11x,polX,2,455.30249245954485,2:0.500120386;3:0.499879614;4:1.16936025e-27;5:2.58033681e-27,0.7075347741069726,0.2764989001390305,False,nested_site_single_lp11_optimal,0.27649890013903095,0.2764989049179861,0.9999999827161877,4.77895517603244e-09,77.62360451004996,0.9999999827161877,True,0.9999999827161877,1.0,77.62360451004996,294.416934156081,0.2764989049179861,1.1851263422582484e-27,3.205911032332707e-08,0.3292569418610192,0.7075347741069725,2,2:0.138260591;3:0.138238314;4:1.15365022e-28;5:1.37056331e-28,0.27649890013903095,4.77895517603244e-09,0.2764989049179861,1.1851263422582484e-27,0.2764989049179861,3.205911032332707e-08,0.7235010630229035,0.7235010630229035,1.0,0.7075347741069726,True
nested_site,nested_site,pc_scf110_fmf16_l4p250mm_nested_site_single_lp11_N2,pc_scf110_fmf16_l4p250mm,2,4,110.0,16.0,4.5,0.00425,4.25,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,40.0,"-15,0;15,0",0;1,True,4,10.499871849347256,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l4p250mm_butt.npz,same_eme_project_cell1_port2_basis,0.40194971637084415,0.39079195858326354,LP11x-polY,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,1,0,mode2,mode1,True,LP11y-polY,LP11y,polY,2,455.3024924591757,2:0.500120386;3:0.499879614;4:1.28851891e-27;5:3.71968878e-29,0.006231514066182459,0.0024352255868625933,False,nested_site_single_lp11_optimal,0.0024352255868626,0.0024352261670175894,0.9999997617654584,5.801549895871616e-10,66.22995166518206,0.9999997617654584,True,0.9999997617654584,1.0,66.22995166518206,273.86539301701146,0.0024352261670175894,6.87900423394303e-26,2.0831754498994995e-10,0.34394267886506236,0.006231514066182457,2,2:0.00121868636;3:0.0012165398;4:2.74436621e-28;5:1.31795823e-28,0.0024352255868626,5.801549895871616e-10,0.0024352261670175894,6.87900423394303e-26,0.0024352261670175894,2.0831754498994995e-10,0.9975647736246648,0.9975647736246648,0.9999999999999999,0.006231514066182459,True
nested_site,nested_site,pc_scf110_fmf16_l4p250mm_nested_site_single_lp11_N4,pc_scf110_fmf16_l4p250mm,4,8,110.0,16.0,4.5,0.00425,4.25,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,25.0,"-15,0;15,0;0,30;0,-30",0;1;2;3,True,8,10.550490070365335,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l4p250mm_butt.npz,same_eme_project_cell1_port2_basis,0.40194971637084415,0.4018477941083132,LP11x-polY,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,1,0,mode2,mode1,True,LP11y-polX,LP11y,polX,4,443.970836810146,2:1.74896552e-28;3:2.68455421e-27;4:0.500159944;5:0.499840056,0.1323294804627272,0.053176309819446106,False,nested_site_single_lp11_optimal,0.05317630981944605,0.05317631008150141,0.999999995071953,2.620553565813033e-10,83.07325154699632,0.999999995071953,True,0.999999995071953,1.0,83.07325154699632,287.25718198229833,0.05317631008150141,1.1425694377232549e-26,6.110676778748049e-09,0.34183212611233854,0.13232948046272724,4,2:1.09035376e-27;3:1.42220687e-27;4:0.0265971528;5:0.0265791573,0.05317630981944605,2.620553565813033e-10,0.05317631008150141,1.1425694377232549e-26,0.05317631008150141,6.110676778748049e-09,0.9468236838078219,0.9468236838078219,1.0,0.1323294804627272,True
nested_site,nested_site,pc_scf110_fmf16_l4p250mm_nested_site_single_lp11_N6,pc_scf110_fmf16_l4p250mm,6,12,110.0,16.0,4.5,0.00425,4.25,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,10.0,"-15,0;15,0;0,30;0,-30;-45,0;45,0",0;1;2;3;4;5,True,12,10.550496095986292,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l4p250mm_butt.npz,same_eme_project_cell1_port2_basis,0.40194971637084415,0.39079195858326354,LP11x-polY,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,1,0,mode2,mode1,True,LP11y-polY,LP11y,polY,2,455.3024924591757,2:0.500120386;3:0.499879614;4:1.28851891e-27;5:3.71968878e-29,0.25504960859925174,0.09967133608039638,False,nested_site_single_lp11_optimal,0.09967133608039636,0.09967134146780098,0.9999999459483083,5.387404619638936e-09,72.67190685610787,0.9999999459483083,True,0.9999999459483083,1.0,72.67190685610787,289.9857030343144,0.09967134146780098,7.018964911747959e-27,1.0459127130222927e-08,0.319763369333456,0.2550496085992519,3,2:0.0498342439;3:0.0498370975;4:6.52908595e-29;5:1.58689338e-28,0.09967133608039636,5.387404619638936e-09,0.09967134146780098,7.018964911747959e-27,0.09967134146780098,1.0459127130222927e-08,0.9003286480730719,0.9003286480730719,1.0,0.25504960859925174,True
nested_site,nested_site,pc_scf110_fmf16_l4p250mm_nested_site_single_lp11_N8,pc_scf110_fmf16_l4p250mm,8,16,110.0,16.0,4.5,0.00425,4.25,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,10.0,"-15,0;15,0;0,30;0,-30;-45,0;45,0;-45,30;45,-30",0;1;2;3;4;5;6;7,True,16,10.550497954008241,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l4p250mm_butt.npz,same_eme_project_cell1_port2_basis,0.40194971637084415,0.39079195858326354,LP11x-polY,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,1,0,mode2,mode1,True,LP11y-polY,LP11y,polY,2,455.3024924591757,2:0.500120386;3:0.499879614;4:1.28851891e-27;5:3.71968878e-29,0.3528377604904553,0.13788615948419747,False,nested_site_single_lp11_optimal,0.13788615948419747,0.14989146501689082,0.9199066769322689,0.012005305532693356,10.601474582046023,0.9199066769322689,True,0.9199066769322689,1.0,10.601474582046023,291.75776904351966,0.14989146501689082,9.712375657242534e-27,1.7470218419357665e-08,0.31508839174608655,0.3528377604904554,2,2:0.0689439294;3:0.0689422397;4:0.00600417138;5:0.00600112454,0.13788615948419747,0.012005305532693356,0.14989146501689082,9.712375657242534e-27,0.14989146501689082,1.7470218419357665e-08,0.8501085175128908,0.8501085175128908,1.0,0.3528377604904553,True
nested_site,nested_site,pc_scf110_fmf16_l4p250mm_nested_site_single_lp11_N10,pc_scf110_fmf16_l4p250mm,10,20,110.0,16.0,4.5,0.00425,4.25,pre_registered_nested_sites,pre_registered_nested_sites,,30.0,10.0,"-15,0;15,0;0,30;0,-30;-45,0;45,0;-45,30;45,-30;45,30;-45,-30",0;1;2;3;4;5;6;7;8;9,True,20,10.550501724032454,48,12,48,False,2;3;4;5,0;1,4,4,,True,same_eme_project_cell1_port2_basis,False,True,real_lumerical_mode_eme,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-28_smf_count_eta_per_count_optimized_full_proxy\results\lumerical_per_count_real_eme_execution\data\per_count_real_eme_smatrix\pc_scf110_fmf16_l4p250mm_butt.npz,same_eme_project_cell1_port2_basis,0.40194971637084415,0.39079195858326354,LP11x-polY,EME cell_1 retained input coefficients; S21 already includes SCF group-span propagation,single-LP11 pure N-only causal fixed-platform row; no robustness,1,0,mode2,mode1,True,LP11y-polY,LP11y,polY,2,455.3024924591757,2:0.500120386;3:0.499879614;4:1.28851891e-27;5:3.71968878e-29,0.4467500573221022,0.17458632989808967,False,nested_site_single_lp11_optimal,0.1745863298980896,0.1745863443469532,0.9999999172394402,1.4448863605576179e-08,70.82176544025889,0.9999999172394402,True,0.9999999172394402,1.0,70.82176544025889,292.42010271404513,0.1745863443469532,5.842358028032786e-27,2.1405086828592325e-08,0.31768606675982786,0.4467500573221022,2,2:0.0872959669;3:0.0872903775;4:8.50002546e-28;5:7.46276565e-28,0.1745863298980896,1.4448863605576179e-08,0.1745863443469532,5.842358028032786e-27,0.1745863443469532,2.1405086828592325e-08,0.82541363424796,0.82541363424796,1.0,0.4467500573221022,True
