"figure","public_url","local_source_file","purpose"
"01_geometry_contours.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/01_geometry_contours.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\01_geometry_contours.png","Selected pitch-constrained SMF/SCF/FMF geometry with physical contours"
"03_input_controls.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/03_input_controls.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\03_input_controls.png","Per-target four-SMF normalized power, amplitude, and phase controls"
"05_key_scalar_sections_with_contours.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/05_key_scalar_sections_with_contours.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\05_key_scalar_sections_with_contours.png","Key scalar planes: SMF launch, SCF retained output, and FMF projected output with contours"
"04_output_fields_with_contours.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/04_output_fields_with_contours.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\04_output_fields_with_contours.png","Scalar retained-basis FMF modal reconstruction field and phase diagnostic"
"09_eme_input_source_calibration_fields.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/09_eme_input_source_calibration_fields.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\09_eme_input_source_calibration_fields.png","Real MODE/EME SMF input-plane source-mode field calibration diagnostic"
"10_eme_input_calibrated_output_targets.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/10_eme_input_calibrated_output_targets.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\10_eme_input_calibrated_output_targets.png","Mapped external EME FMF-output target fields; diagnostic only because source equivalence failed"
"02_nominal_metrics.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/02_nominal_metrics.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\02_nominal_metrics.png","Nominal scalar eta, rho, and ER target metrics"
"07_stage3_robustness_summary.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/07_stage3_robustness_summary.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\07_stage3_robustness_summary.png","Frozen-control robustness summary"
"08_family_shortlist_worst_eta.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/08_family_shortlist_worst_eta.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\08_family_shortlist_worst_eta.png","External-solver family shortlist worst-eta comparison"
"05_existing_stage2_top_geometry.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/05_existing_stage2_top_geometry.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\05_existing_stage2_top_geometry.png","Existing Stage 2 top-candidate geometry reference"
"06_existing_stage2_top_fields.png","https://raw.githubusercontent.com/bitzyc/scf-fmf-notion-assets/main/notion_report_assets/2026-06-18_n4_pitch30_symmetric_multitarget/06_existing_stage2_top_fields.png","C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\results\reports\n4_pitch30_symmetric_notion_report_20260618\figures\06_existing_stage2_top_fields.png","Existing Stage 2 top-candidate field reference"
